row,reason,sku,productName,warehouseName,quantity,unit,purchasePrice,sellingPrice,categoryName,description
1,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU1"" }",sku1,Car1,warehouse1,1,pcs,555,666,category1,description1
2,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU2"" }",sku2,Car2,warehouse2,2,pcs,666,777,category2,description2
3,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU3"" }",sku3,Car3,warehouse3,3,pcs,777,888,category3,description3
4,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU4"" }",sku4,Car4,warehouse4,4,pcs,888,999,category4,description4
5,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU5"" }",sku5,Car5,warehouse5,5,pcs,999,1110,category5,description5
6,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU6"" }",sku6,Car6,warehouse6,6,pcs,1110,1221,category6,description6
7,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU7"" }",sku7,Car7,warehouse7,7,pcs,1221,1332,category7,description7
8,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU8"" }",sku8,Car8,warehouse8,8,pcs,1332,1443,category8,description8
9,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU9"" }",sku9,Car9,warehouse9,9,pcs,1443,1554,category9,description9
10,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU10"" }",sku10,Car10,warehouse10,10,pcs,1554,1665,category10,description10
11,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU11"" }",sku11,Car11,warehouse11,11,pcs,1665,1776,category11,description11
12,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU12"" }",sku12,Car12,warehouse12,12,pcs,1776,1887,category12,description12
13,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU13"" }",sku13,Car13,warehouse13,13,pcs,1887,1998,category13,description13
14,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU14"" }",sku14,Car14,warehouse14,14,pcs,1998,2109,category14,description14
15,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU15"" }",sku15,Car15,warehouse15,15,pcs,2109,2220,category15,description15
16,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU16"" }",sku16,Car16,warehouse16,16,pcs,2220,2331,category16,description16
17,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU17"" }",sku17,Car17,warehouse17,17,pcs,2331,2442,category17,description17
18,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU18"" }",sku18,Car18,warehouse18,18,pcs,2442,2553,category18,description18
19,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU19"" }",sku19,Car19,warehouse19,19,pcs,2553,2664,category19,description19
20,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU20"" }",sku20,Car20,warehouse20,20,pcs,2664,2775,category20,description20
21,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU21"" }",sku21,Car21,warehouse21,21,pcs,2775,2886,category21,description21
22,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU22"" }",sku22,Car22,warehouse22,22,pcs,2886,2997,category22,description22
23,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU23"" }",sku23,Car23,warehouse23,23,pcs,2997,3108,category23,description23
24,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU24"" }",sku24,Car24,warehouse24,24,pcs,3108,3219,category24,description24
25,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU25"" }",sku25,Car25,warehouse25,25,pcs,3219,3330,category25,description25
26,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU26"" }",sku26,Car26,warehouse26,26,pcs,3330,3441,category26,description26
27,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU27"" }",sku27,Car27,warehouse27,27,pcs,3441,3552,category27,description27
28,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU28"" }",sku28,Car28,warehouse28,28,pcs,3552,3663,category28,description28
29,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU29"" }",sku29,Car29,warehouse29,29,pcs,3663,3774,category29,description29
30,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU30"" }",sku30,Car30,warehouse30,30,pcs,3774,3885,category30,description30
31,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU31"" }",sku31,Car31,warehouse31,31,pcs,3885,3996,category31,description31
32,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU32"" }",sku32,Car32,warehouse32,32,pcs,3996,4107,category32,description32
33,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU33"" }",sku33,Car33,warehouse33,33,pcs,4107,4218,category33,description33
34,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU34"" }",sku34,Car34,warehouse34,34,pcs,4218,4329,category34,description34
35,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU35"" }",sku35,Car35,warehouse35,35,pcs,4329,4440,category35,description35
36,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU36"" }",sku36,Car36,warehouse36,36,pcs,4440,4551,category36,description36
37,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU37"" }",sku37,Car37,warehouse37,37,pcs,4551,4662,category37,description37
38,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU38"" }",sku38,Car38,warehouse38,38,pcs,4662,4773,category38,description38
39,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU39"" }",sku39,Car39,warehouse39,39,pcs,4773,4884,category39,description39
40,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU40"" }",sku40,Car40,warehouse40,40,pcs,4884,4995,category40,description40
41,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU41"" }",sku41,Car41,warehouse41,41,pcs,4995,5106,category41,description41
42,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU42"" }",sku42,Car42,warehouse42,42,pcs,5106,5217,category42,description42
43,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU43"" }",sku43,Car43,warehouse43,43,pcs,5217,5328,category43,description43
44,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU44"" }",sku44,Car44,warehouse44,44,pcs,5328,5439,category44,description44
45,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU45"" }",sku45,Car45,warehouse45,45,pcs,5439,5550,category45,description45
46,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU46"" }",sku46,Car46,warehouse46,46,pcs,5550,5661,category46,description46
47,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU47"" }",sku47,Car47,warehouse47,47,pcs,5661,5772,category47,description47
48,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU48"" }",sku48,Car48,warehouse48,48,pcs,5772,5883,category48,description48
49,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU49"" }",sku49,Car49,warehouse49,49,pcs,5883,5994,category49,description49
50,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU50"" }",sku50,Car50,warehouse50,50,pcs,5994,6105,category50,description50
51,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU51"" }",sku51,Car51,warehouse51,51,pcs,6105,6216,category51,description51
52,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU52"" }",sku52,Car52,warehouse52,52,pcs,6216,6327,category52,description52
53,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU53"" }",sku53,Car53,warehouse53,53,pcs,6327,6438,category53,description53
54,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU54"" }",sku54,Car54,warehouse54,54,pcs,6438,6549,category54,description54
55,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU55"" }",sku55,Car55,warehouse55,55,pcs,6549,6660,category55,description55
56,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU56"" }",sku56,Car56,warehouse56,56,pcs,6660,6771,category56,description56
57,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU57"" }",sku57,Car57,warehouse57,57,pcs,6771,6882,category57,description57
58,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU58"" }",sku58,Car58,warehouse58,58,pcs,6882,6993,category58,description58
59,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU59"" }",sku59,Car59,warehouse59,59,pcs,6993,7104,category59,description59
60,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU60"" }",sku60,Car60,warehouse60,60,pcs,7104,7215,category60,description60
61,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU61"" }",sku61,Car61,warehouse61,61,pcs,7215,7326,category61,description61
62,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU62"" }",sku62,Car62,warehouse62,62,pcs,7326,7437,category62,description62
63,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU63"" }",sku63,Car63,warehouse63,63,pcs,7437,7548,category63,description63
64,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU64"" }",sku64,Car64,warehouse64,64,pcs,7548,7659,category64,description64
65,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU65"" }",sku65,Car65,warehouse65,65,pcs,7659,7770,category65,description65
66,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU66"" }",sku66,Car66,warehouse66,66,pcs,7770,7881,category66,description66
67,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU67"" }",sku67,Car67,warehouse67,67,pcs,7881,7992,category67,description67
68,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU68"" }",sku68,Car68,warehouse68,68,pcs,7992,8103,category68,description68
69,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU69"" }",sku69,Car69,warehouse69,69,pcs,8103,8214,category69,description69
70,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU70"" }",sku70,Car70,warehouse70,70,pcs,8214,8325,category70,description70
71,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU71"" }",sku71,Car71,warehouse71,71,pcs,8325,8436,category71,description71
72,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU72"" }",sku72,Car72,warehouse72,72,pcs,8436,8547,category72,description72
73,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU73"" }",sku73,Car73,warehouse73,73,pcs,8547,8658,category73,description73
74,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU74"" }",sku74,Car74,warehouse74,74,pcs,8658,8769,category74,description74
75,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU75"" }",sku75,Car75,warehouse75,75,pcs,8769,8880,category75,description75
76,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU76"" }",sku76,Car76,warehouse76,76,pcs,8880,8991,category76,description76
77,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU77"" }",sku77,Car77,warehouse77,77,pcs,8991,9102,category77,description77
78,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU78"" }",sku78,Car78,warehouse78,78,pcs,9102,9213,category78,description78
79,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU79"" }",sku79,Car79,warehouse79,79,pcs,9213,9324,category79,description79
80,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU80"" }",sku80,Car80,warehouse80,80,pcs,9324,9435,category80,description80
81,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU81"" }",sku81,Car81,warehouse81,81,pcs,9435,9546,category81,description81
82,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU82"" }",sku82,Car82,warehouse82,82,pcs,9546,9657,category82,description82
83,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU83"" }",sku83,Car83,warehouse83,83,pcs,9657,9768,category83,description83
84,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU84"" }",sku84,Car84,warehouse84,84,pcs,9768,9879,category84,description84
85,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU85"" }",sku85,Car85,warehouse85,85,pcs,9879,9990,category85,description85
86,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU86"" }",sku86,Car86,warehouse86,86,pcs,9990,10101,category86,description86
87,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU87"" }",sku87,Car87,warehouse87,87,pcs,10101,10212,category87,description87
88,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU88"" }",sku88,Car88,warehouse88,88,pcs,10212,10323,category88,description88
89,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU89"" }",sku89,Car89,warehouse89,89,pcs,10323,10434,category89,description89
90,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU90"" }",sku90,Car90,warehouse90,90,pcs,10434,10545,category90,description90
91,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU91"" }",sku91,Car91,warehouse91,91,pcs,10545,10656,category91,description91
92,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU92"" }",sku92,Car92,warehouse92,92,pcs,10656,10767,category92,description92
93,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU93"" }",sku93,Car93,warehouse93,93,pcs,10767,10878,category93,description93
94,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU94"" }",sku94,Car94,warehouse94,94,pcs,10878,10989,category94,description94
95,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU95"" }",sku95,Car95,warehouse95,95,pcs,10989,11100,category95,description95
96,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU96"" }",sku96,Car96,warehouse96,96,pcs,11100,11211,category96,description96
97,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU97"" }",sku97,Car97,warehouse97,97,pcs,11211,11322,category97,description97
98,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU98"" }",sku98,Car98,warehouse98,98,pcs,11322,11433,category98,description98
99,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU99"" }",sku99,Car99,warehouse99,99,pcs,11433,11544,category99,description99
100,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU100"" }",sku100,Car100,warehouse100,100,pcs,11544,11655,category100,description100